255: Start DateObject[{2023, 2, 6, 10, 28, 8.}, Instant, Gregorian, 8.]
207: Start DateObject[{2023, 2, 6, 10, 39, 20.}, Instant, Gregorian, 8.]
95: Finished DateObject[{2023, 2, 6, 10, 39, 37.}, Instant, Gregorian, 8.]
254: Finished DateObject[{2023, 2, 6, 10, 39, 51.}, Instant, Gregorian, 8.]
126: Start DateObject[{2023, 2, 6, 10, 39, 53.}, Instant, Gregorian, 8.]
222: Start DateObject[{2023, 2, 6, 10, 39, 53.}, Instant, Gregorian, 8.]
238: Start DateObject[{2023, 2, 6, 10, 39, 53.}, Instant, Gregorian, 8.]
190: Start DateObject[{2023, 2, 6, 10, 39, 53.}, Instant, Gregorian, 8.]
250: Start DateObject[{2023, 2, 6, 10, 39, 53.}, Instant, Gregorian, 8.]
207: Finished DateObject[{2023, 2, 6, 10, 39, 56.}, Instant, Gregorian, 8.]
219: Finished DateObject[{2023, 2, 6, 10, 40, 6.}, Instant, Gregorian, 8.]
126: Finished DateObject[{2023, 2, 6, 10, 40, 6.}, Instant, Gregorian, 8.]
91: Start DateObject[{2023, 2, 6, 10, 40, 7.}, Instant, Gregorian, 8.]
253: Finished DateObject[{2023, 2, 6, 10, 40, 7.}, Instant, Gregorian, 8.]
249: Start DateObject[{2023, 2, 6, 10, 40, 10.}, Instant, Gregorian, 8.]
237: Start DateObject[{2023, 2, 6, 10, 40, 10.}, Instant, Gregorian, 8.]
189: Start DateObject[{2023, 2, 6, 10, 40, 10.}, Instant, Gregorian, 8.]
221: Start DateObject[{2023, 2, 6, 10, 40, 10.}, Instant, Gregorian, 8.]
125: Start DateObject[{2023, 2, 6, 10, 40, 10.}, Instant, Gregorian, 8.]
252: Start DateObject[{2023, 2, 6, 10, 40, 11.}, Instant, Gregorian, 8.]
125: Finished DateObject[{2023, 2, 6, 10, 40, 29.}, Instant, Gregorian, 8.]
91: Finished DateObject[{2023, 2, 6, 10, 40, 34.}, Instant, Gregorian, 8.]
187: Finished DateObject[{2023, 2, 6, 10, 40, 37.}, Instant, Gregorian, 8.]
159: Finished DateObject[{2023, 2, 6, 10, 41, 1.}, Instant, Gregorian, 8.]
155: Start DateObject[{2023, 2, 6, 10, 41, 3.}, Instant, Gregorian, 8.]
247: Finished DateObject[{2023, 2, 6, 10, 41, 7.}, Instant, Gregorian, 8.]
243: Start DateObject[{2023, 2, 6, 10, 41, 9.}, Instant, Gregorian, 8.]
215: Start DateObject[{2023, 2, 6, 10, 41, 9.}, Instant, Gregorian, 8.]
231: Start DateObject[{2023, 2, 6, 10, 41, 9.}, Instant, Gregorian, 8.]
245: Start DateObject[{2023, 2, 6, 10, 41, 9.}, Instant, Gregorian, 8.]
246: Start DateObject[{2023, 2, 6, 10, 41, 9.}, Instant, Gregorian, 8.]
183: Start DateObject[{2023, 2, 6, 10, 41, 10.}, Instant, Gregorian, 8.]
235: Finished DateObject[{2023, 2, 6, 10, 41, 50.}, Instant, Gregorian, 8.]
119: Start DateObject[{2023, 2, 6, 10, 41, 52.}, Instant, Gregorian, 8.]
221: Finished DateObject[{2023, 2, 6, 10, 42, 9.}, Instant, Gregorian, 8.]
119: Finished DateObject[{2023, 2, 6, 10, 42, 9.}, Instant, Gregorian, 8.]
203: Start DateObject[{2023, 2, 6, 10, 42, 10.}, Instant, Gregorian, 8.]
93: Start DateObject[{2023, 2, 6, 10, 42, 13.}, Instant, Gregorian, 8.]
155: Finished DateObject[{2023, 2, 6, 10, 42, 20.}, Instant, Gregorian, 8.]
249: Finished DateObject[{2023, 2, 6, 10, 42, 31.}, Instant, Gregorian, 8.]
217: Start DateObject[{2023, 2, 6, 10, 42, 33.}, Instant, Gregorian, 8.]
121: Start DateObject[{2023, 2, 6, 10, 42, 33.}, Instant, Gregorian, 8.]
203: Finished DateObject[{2023, 2, 6, 10, 42, 42.}, Instant, Gregorian, 8.]
93: Finished DateObject[{2023, 2, 6, 10, 42, 44.}, Instant, Gregorian, 8.]
183: Finished DateObject[{2023, 2, 6, 10, 42, 52.}, Instant, Gregorian, 8.]
190: Finished DateObject[{2023, 2, 6, 10, 42, 52.}, Instant, Gregorian, 8.]
121: Finished DateObject[{2023, 2, 6, 10, 42, 57.}, Instant, Gregorian, 8.]
252: Finished DateObject[{2023, 2, 6, 10, 43, 14.}, Instant, Gregorian, 8.]
238: Finished DateObject[{2023, 2, 6, 10, 43, 16.}, Instant, Gregorian, 8.]
243: Finished DateObject[{2023, 2, 6, 10, 43, 36.}, Instant, Gregorian, 8.]
179: Start DateObject[{2023, 2, 6, 10, 43, 38.}, Instant, Gregorian, 8.]
217: Finished DateObject[{2023, 2, 6, 10, 43, 39.}, Instant, Gregorian, 8.]
89: Start DateObject[{2023, 2, 6, 10, 43, 41.}, Instant, Gregorian, 8.]
189: Finished DateObject[{2023, 2, 6, 10, 43, 54.}, Instant, Gregorian, 8.]
157: Start DateObject[{2023, 2, 6, 10, 43, 55.}, Instant, Gregorian, 8.]
185: Start DateObject[{2023, 2, 6, 10, 43, 56.}, Instant, Gregorian, 8.]
188: Start DateObject[{2023, 2, 6, 10, 43, 56.}, Instant, Gregorian, 8.]
237: Finished DateObject[{2023, 2, 6, 10, 44, 4.}, Instant, Gregorian, 8.]
236: Start DateObject[{2023, 2, 6, 10, 44, 5.}, Instant, Gregorian, 8.]
205: Start DateObject[{2023, 2, 6, 10, 44, 6.}, Instant, Gregorian, 8.]
233: Start DateObject[{2023, 2, 6, 10, 44, 6.}, Instant, Gregorian, 8.]
179: Finished DateObject[{2023, 2, 6, 10, 44, 8.}, Instant, Gregorian, 8.]
89: Finished DateObject[{2023, 2, 6, 10, 44, 8.}, Instant, Gregorian, 8.]
205: Finished DateObject[{2023, 2, 6, 10, 44, 38.}, Instant, Gregorian, 8.]
236: Finished DateObject[{2023, 2, 6, 10, 44, 40.}, Instant, Gregorian, 8.]
250: Finished DateObject[{2023, 2, 6, 10, 44, 41.}, Instant, Gregorian, 8.]
234: Start DateObject[{2023, 2, 6, 10, 44, 43.}, Instant, Gregorian, 8.]
122: Start DateObject[{2023, 2, 6, 10, 44, 43.}, Instant, Gregorian, 8.]
248: Start DateObject[{2023, 2, 6, 10, 44, 43.}, Instant, Gregorian, 8.]
186: Start DateObject[{2023, 2, 6, 10, 44, 43.}, Instant, Gregorian, 8.]
175: Finished DateObject[{2023, 2, 6, 10, 44, 44.}, Instant, Gregorian, 8.]
185: Finished DateObject[{2023, 2, 6, 10, 44, 44.}, Instant, Gregorian, 8.]
173: Start DateObject[{2023, 2, 6, 10, 44, 46.}, Instant, Gregorian, 8.]
171: Start DateObject[{2023, 2, 6, 10, 44, 46.}, Instant, Gregorian, 8.]
174: Start DateObject[{2023, 2, 6, 10, 44, 46.}, Instant, Gregorian, 8.]
188: Finished DateObject[{2023, 2, 6, 10, 44, 53.}, Instant, Gregorian, 8.]
233: Finished DateObject[{2023, 2, 6, 10, 44, 53.}, Instant, Gregorian, 8.]
157: Finished DateObject[{2023, 2, 6, 10, 45, 0.}, Instant, Gregorian, 8.]
122: Finished DateObject[{2023, 2, 6, 10, 45, 2.}, Instant, Gregorian, 8.]
248: Finished DateObject[{2023, 2, 6, 10, 45, 8.}, Instant, Gregorian, 8.]
231: Finished DateObject[{2023, 2, 6, 10, 45, 13.}, Instant, Gregorian, 8.]
227: Start DateObject[{2023, 2, 6, 10, 45, 14.}, Instant, Gregorian, 8.]
167: Start DateObject[{2023, 2, 6, 10, 45, 14.}, Instant, Gregorian, 8.]
246: Finished DateObject[{2023, 2, 6, 10, 45, 25.}, Instant, Gregorian, 8.]
242: Start DateObject[{2023, 2, 6, 10, 45, 26.}, Instant, Gregorian, 8.]
230: Start DateObject[{2023, 2, 6, 10, 45, 26.}, Instant, Gregorian, 8.]
182: Start DateObject[{2023, 2, 6, 10, 45, 26.}, Instant, Gregorian, 8.]
234: Finished DateObject[{2023, 2, 6, 10, 45, 36.}, Instant, Gregorian, 8.]
222: Finished DateObject[{2023, 2, 6, 10, 45, 38.}, Instant, Gregorian, 8.]
220: Start DateObject[{2023, 2, 6, 10, 45, 40.}, Instant, Gregorian, 8.]
206: Start DateObject[{2023, 2, 6, 10, 45, 40.}, Instant, Gregorian, 8.]
158: Start DateObject[{2023, 2, 6, 10, 45, 40.}, Instant, Gregorian, 8.]
94: Start DateObject[{2023, 2, 6, 10, 45, 40.}, Instant, Gregorian, 8.]
218: Start DateObject[{2023, 2, 6, 10, 45, 41.}, Instant, Gregorian, 8.]
94: Finished DateObject[{2023, 2, 6, 10, 45, 58.}, Instant, Gregorian, 8.]
206: Finished DateObject[{2023, 2, 6, 10, 46, 4.}, Instant, Gregorian, 8.]
215: Finished DateObject[{2023, 2, 6, 10, 46, 11.}, Instant, Gregorian, 8.]
199: Start DateObject[{2023, 2, 6, 10, 46, 13.}, Instant, Gregorian, 8.]
87: Start DateObject[{2023, 2, 6, 10, 46, 13.}, Instant, Gregorian, 8.]
151: Start DateObject[{2023, 2, 6, 10, 46, 13.}, Instant, Gregorian, 8.]
211: Start DateObject[{2023, 2, 6, 10, 46, 13.}, Instant, Gregorian, 8.]
214: Start DateObject[{2023, 2, 6, 10, 46, 13.}, Instant, Gregorian, 8.]
230: Finished DateObject[{2023, 2, 6, 10, 46, 30.}, Instant, Gregorian, 8.]
87: Finished DateObject[{2023, 2, 6, 10, 46, 33.}, Instant, Gregorian, 8.]
227: Finished DateObject[{2023, 2, 6, 10, 46, 33.}, Instant, Gregorian, 8.]
220: Finished DateObject[{2023, 2, 6, 10, 46, 37.}, Instant, Gregorian, 8.]
182: Finished DateObject[{2023, 2, 6, 10, 46, 38.}, Instant, Gregorian, 8.]
218: Finished DateObject[{2023, 2, 6, 10, 46, 48.}, Instant, Gregorian, 8.]
202: Start DateObject[{2023, 2, 6, 10, 46, 49.}, Instant, Gregorian, 8.]
90: Start DateObject[{2023, 2, 6, 10, 46, 50.}, Instant, Gregorian, 8.]
151: Finished DateObject[{2023, 2, 6, 10, 46, 53.}, Instant, Gregorian, 8.]
186: Finished DateObject[{2023, 2, 6, 10, 46, 58.}, Instant, Gregorian, 8.]
184: Start DateObject[{2023, 2, 6, 10, 47, 0.}, Instant, Gregorian, 8.]
211: Finished DateObject[{2023, 2, 6, 10, 47, 0.}, Instant, Gregorian, 8.]
171: Finished DateObject[{2023, 2, 6, 10, 47, 8.}, Instant, Gregorian, 8.]
90: Finished DateObject[{2023, 2, 6, 10, 47, 9.}, Instant, Gregorian, 8.]
202: Finished DateObject[{2023, 2, 6, 10, 47, 14.}, Instant, Gregorian, 8.]
184: Finished DateObject[{2023, 2, 6, 10, 47, 31.}, Instant, Gregorian, 8.]
167: Finished DateObject[{2023, 2, 6, 10, 47, 41.}, Instant, Gregorian, 8.]
163: Start DateObject[{2023, 2, 6, 10, 47, 42.}, Instant, Gregorian, 8.]
163: Finished DateObject[{2023, 2, 6, 10, 48, 19.}, Instant, Gregorian, 8.]
174: Finished DateObject[{2023, 2, 6, 10, 48, 25.}, Instant, Gregorian, 8.]
166: Start DateObject[{2023, 2, 6, 10, 48, 27.}, Instant, Gregorian, 8.]
170: Start DateObject[{2023, 2, 6, 10, 48, 27.}, Instant, Gregorian, 8.]
214: Finished DateObject[{2023, 2, 6, 10, 48, 37.}, Instant, Gregorian, 8.]
173: Finished DateObject[{2023, 2, 6, 10, 48, 56.}, Instant, Gregorian, 8.]
169: Start DateObject[{2023, 2, 6, 10, 48, 58.}, Instant, Gregorian, 8.]
172: Start DateObject[{2023, 2, 6, 10, 48, 58.}, Instant, Gregorian, 8.]
199: Finished DateObject[{2023, 2, 6, 10, 48, 59.}, Instant, Gregorian, 8.]
195: Start DateObject[{2023, 2, 6, 10, 49, 1.}, Instant, Gregorian, 8.]
198: Start DateObject[{2023, 2, 6, 10, 49, 1.}, Instant, Gregorian, 8.]
158: Finished DateObject[{2023, 2, 6, 10, 49, 1.}, Instant, Gregorian, 8.]
245: Finished DateObject[{2023, 2, 6, 10, 49, 2.}, Instant, Gregorian, 8.]
154: Start DateObject[{2023, 2, 6, 10, 49, 3.}, Instant, Gregorian, 8.]
150: Start DateObject[{2023, 2, 6, 10, 49, 3.}, Instant, Gregorian, 8.]
156: Start DateObject[{2023, 2, 6, 10, 49, 3.}, Instant, Gregorian, 8.]
229: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
244: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
241: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
213: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
181: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
117: Start DateObject[{2023, 2, 6, 10, 49, 6.}, Instant, Gregorian, 8.]
166: Finished DateObject[{2023, 2, 6, 10, 49, 15.}, Instant, Gregorian, 8.]
117: Finished DateObject[{2023, 2, 6, 10, 49, 25.}, Instant, Gregorian, 8.]
242: Finished DateObject[{2023, 2, 6, 10, 49, 32.}, Instant, Gregorian, 8.]
178: Start DateObject[{2023, 2, 6, 10, 49, 33.}, Instant, Gregorian, 8.]
210: Start DateObject[{2023, 2, 6, 10, 49, 34.}, Instant, Gregorian, 8.]
226: Start DateObject[{2023, 2, 6, 10, 49, 34.}, Instant, Gregorian, 8.]
198: Finished DateObject[{2023, 2, 6, 10, 49, 51.}, Instant, Gregorian, 8.]
150: Finished DateObject[{2023, 2, 6, 10, 49, 58.}, Instant, Gregorian, 8.]
172: Finished DateObject[{2023, 2, 6, 10, 50, 2.}, Instant, Gregorian, 8.]
154: Finished DateObject[{2023, 2, 6, 10, 50, 9.}, Instant, Gregorian, 8.]
156: Finished DateObject[{2023, 2, 6, 10, 50, 15.}, Instant, Gregorian, 8.]
178: Finished DateObject[{2023, 2, 6, 10, 50, 25.}, Instant, Gregorian, 8.]
170: Finished DateObject[{2023, 2, 6, 10, 50, 33.}, Instant, Gregorian, 8.]
195: Finished DateObject[{2023, 2, 6, 10, 50, 38.}, Instant, Gregorian, 8.]
169: Finished DateObject[{2023, 2, 6, 10, 50, 43.}, Instant, Gregorian, 8.]
210: Finished DateObject[{2023, 2, 6, 10, 50, 53.}, Instant, Gregorian, 8.]
226: Finished DateObject[{2023, 2, 6, 10, 50, 56.}, Instant, Gregorian, 8.]
162: Start DateObject[{2023, 2, 6, 10, 50, 57.}, Instant, Gregorian, 8.]
194: Start DateObject[{2023, 2, 6, 10, 50, 57.}, Instant, Gregorian, 8.]
241: Finished DateObject[{2023, 2, 6, 10, 51, 6.}, Instant, Gregorian, 8.]
181: Finished DateObject[{2023, 2, 6, 10, 51, 51.}, Instant, Gregorian, 8.]
213: Finished DateObject[{2023, 2, 6, 10, 52, 9.}, Instant, Gregorian, 8.]
149: Start DateObject[{2023, 2, 6, 10, 52, 11.}, Instant, Gregorian, 8.]
85: Start DateObject[{2023, 2, 6, 10, 52, 11.}, Instant, Gregorian, 8.]
153: Start DateObject[{2023, 2, 6, 10, 52, 11.}, Instant, Gregorian, 8.]
162: Finished DateObject[{2023, 2, 6, 10, 52, 14.}, Instant, Gregorian, 8.]
194: Finished DateObject[{2023, 2, 6, 10, 52, 16.}, Instant, Gregorian, 8.]
85: Finished DateObject[{2023, 2, 6, 10, 52, 26.}, Instant, Gregorian, 8.]
149: Finished DateObject[{2023, 2, 6, 10, 52, 32.}, Instant, Gregorian, 8.]
153: Finished DateObject[{2023, 2, 6, 10, 52, 33.}, Instant, Gregorian, 8.]
229: Finished DateObject[{2023, 2, 6, 10, 53, 15.}, Instant, Gregorian, 8.]
197: Start DateObject[{2023, 2, 6, 10, 53, 16.}, Instant, Gregorian, 8.]
225: Start DateObject[{2023, 2, 6, 10, 53, 17.}, Instant, Gregorian, 8.]
165: Start DateObject[{2023, 2, 6, 10, 53, 17.}, Instant, Gregorian, 8.]
244: Finished DateObject[{2023, 2, 6, 10, 53, 56.}, Instant, Gregorian, 8.]
225: Finished DateObject[{2023, 2, 6, 10, 53, 57.}, Instant, Gregorian, 8.]
180: Start DateObject[{2023, 2, 6, 10, 53, 58.}, Instant, Gregorian, 8.]
212: Start DateObject[{2023, 2, 6, 10, 53, 58.}, Instant, Gregorian, 8.]
228: Start DateObject[{2023, 2, 6, 10, 53, 58.}, Instant, Gregorian, 8.]
197: Finished DateObject[{2023, 2, 6, 10, 54, 10.}, Instant, Gregorian, 8.]
152: Start DateObject[{2023, 2, 6, 10, 54, 11.}, Instant, Gregorian, 8.]
165: Finished DateObject[{2023, 2, 6, 10, 54, 27.}, Instant, Gregorian, 8.]
228: Finished DateObject[{2023, 2, 6, 10, 54, 35.}, Instant, Gregorian, 8.]
180: Finished DateObject[{2023, 2, 6, 10, 54, 49.}, Instant, Gregorian, 8.]
164: Start DateObject[{2023, 2, 6, 10, 54, 50.}, Instant, Gregorian, 8.]
152: Finished DateObject[{2023, 2, 6, 10, 55, 1.}, Instant, Gregorian, 8.]
212: Finished DateObject[{2023, 2, 6, 10, 55, 9.}, Instant, Gregorian, 8.]
148: Start DateObject[{2023, 2, 6, 10, 55, 11.}, Instant, Gregorian, 8.]
164: Finished DateObject[{2023, 2, 6, 10, 55, 55.}, Instant, Gregorian, 8.]
148: Finished DateObject[{2023, 2, 6, 10, 55, 58.}, Instant, Gregorian, 8.]
